"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:28:59 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","2","0","e34-3200c","2","36"
"FAPP-core","0","2","1","e34-3200c","2","37"
"FAPP-core","0","2","2","e34-3200c","2","38"
"FAPP-core","0","2","3","e34-3200c","2","39"
"FAPP-core","0","2","4","e34-3200c","2","40"
"FAPP-core","0","2","5","e34-3200c","2","41"
"FAPP-core","0","2","6","e34-3200c","2","42"
"FAPP-core","0","2","7","e34-3200c","2","43"
"FAPP-core","0","2","8","e34-3200c","2","44"
"FAPP-core","0","2","9","e34-3200c","2","45"
"FAPP-core","0","2","10","e34-3200c","2","46"
"FAPP-core","0","2","11","e34-3200c","2","47"
"FAPP-core","0","0","0","e34-3200c","0","12"
"FAPP-core","0","0","1","e34-3200c","0","13"
"FAPP-core","0","0","2","e34-3200c","0","14"
"FAPP-core","0","0","3","e34-3200c","0","15"
"FAPP-core","0","0","4","e34-3200c","0","16"
"FAPP-core","0","0","5","e34-3200c","0","17"
"FAPP-core","0","0","6","e34-3200c","0","18"
"FAPP-core","0","0","7","e34-3200c","0","19"
"FAPP-core","0","0","8","e34-3200c","0","20"
"FAPP-core","0","0","9","e34-3200c","0","21"
"FAPP-core","0","0","10","e34-3200c","0","22"
"FAPP-core","0","0","11","e34-3200c","0","23"
"FAPP-core","0","3","0","e34-3200c","3","48"
"FAPP-core","0","3","1","e34-3200c","3","49"
"FAPP-core","0","3","2","e34-3200c","3","50"
"FAPP-core","0","3","3","e34-3200c","3","51"
"FAPP-core","0","3","4","e34-3200c","3","52"
"FAPP-core","0","3","5","e34-3200c","3","53"
"FAPP-core","0","3","6","e34-3200c","3","54"
"FAPP-core","0","3","7","e34-3200c","3","55"
"FAPP-core","0","3","8","e34-3200c","3","56"
"FAPP-core","0","3","9","e34-3200c","3","57"
"FAPP-core","0","3","10","e34-3200c","3","58"
"FAPP-core","0","3","11","e34-3200c","3","59"
"FAPP-core","0","1","0","e34-3200c","1","24"
"FAPP-core","0","1","1","e34-3200c","1","25"
"FAPP-core","0","1","2","e34-3200c","1","26"
"FAPP-core","0","1","3","e34-3200c","1","27"
"FAPP-core","0","1","4","e34-3200c","1","28"
"FAPP-core","0","1","5","e34-3200c","1","29"
"FAPP-core","0","1","6","e34-3200c","1","30"
"FAPP-core","0","1","7","e34-3200c","1","31"
"FAPP-core","0","1","8","e34-3200c","1","32"
"FAPP-core","0","1","9","e34-3200c","1","33"
"FAPP-core","0","1","10","e34-3200c","1","34"
"FAPP-core","0","1","11","e34-3200c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","2","all","0","4.817204","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.117643","-","-","1"
"FAPP-time-stat","0","0","all","0","4.800903","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.117594","-","-","1"
"FAPP-time-stat","0","3","all","0","4.768730","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.114132","-","-","1"
"FAPP-time-stat","0","1","all","0","4.752520","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.114064","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x80a5","0x80a6","0x8038","0x0105","0x0113","0x0108","0x0112","0x011a"
"FAPP-cpupa","Process","0","2","-","all","0","12","2091906976","36238998242","0","0","1281","468619323","24280778","34375","462636578","74469219"
"FAPP-cpupa","Thread","0","2","0","all","0","1","481726048","4291486198","0","0","1083","59059997","22853055","33242","142663177","6209379"
"FAPP-cpupa","Thread","0","2","1","all","0","1","142595168","2836736461","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","2","2","all","0","1","142596192","2831276236","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","2","3","all","0","1","150553184","2985032953","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","2","4","all","0","1","150862816","2991272213","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","2","5","all","0","1","142595456","2820435447","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","2","6","all","0","1","142544416","2808598400","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","2","7","all","0","1","150481568","2972783964","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","2","8","all","0","1","142806112","2835536022","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","2","9","all","0","1","160011008","3200172725","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","2","10","all","0","1","142544960","2850852876","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","2","11","all","0","1","142590048","2814814747","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","141200992","2823341682","0","0","0","442368024","1545115","1212","345609123","73728000"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","11770880","235346978","0","0","0","36864013","132440","101","28804624","6144000"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","11762240","235196849","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","11770368","235347341","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","11761952","235191047","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","11770560","235346689","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","11762272","235197218","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","11770272","235346331","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","11770528","235345992","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","11761760","235187346","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","11770176","235345403","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","11770368","235346316","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","2","11","axhelm_kernel","1","1","11759616","235144172","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Process","0","0","-","all","0","12","2101289984","36818158111","0","0","1283","468619520","24280433","35077","462636221","74469219"
"FAPP-cpupa","Thread","0","0","0","all","0","1","480096192","4523306928","0","0","1085","59060194","22852710","33944","142662756","6209379"
"FAPP-cpupa","Thread","0","0","1","all","0","1","144295200","2881666720","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","0","2","all","0","1","152542464","3034378760","0","0","18","37232666","129793","103","29088555","6205440"
"FAPP-cpupa","Thread","0","0","3","all","0","1","152239968","3043545624","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","0","4","all","0","1","144295808","2848887989","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","0","5","all","0","1","144295072","2885858244","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","0","6","all","0","1","144246272","2853368078","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","0","7","all","0","1","161936320","3238614306","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","0","8","all","0","1","144517440","2890177933","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","0","9","all","0","1","144296160","2859846229","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","0","10","all","0","1","144245824","2875236656","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","0","11","all","0","1","144283264","2883270644","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","141138112","2822068871","0","0","0","442368024","1545115","1212","345609123","73728000"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","11765728","235246370","0","0","0","36864013","132440","101","28804624","6144000"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","11765664","235246563","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","11765504","235246760","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","11754304","235037400","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","11764768","235240492","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","11765760","235246625","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","11754496","235041812","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","11756864","235087908","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","11756992","235092018","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","11756960","235090453","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","11765568","235246403","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","11765504","235246067","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Process","0","3","-","all","0","12","2080420320","37740913699","0","0","1281","468619309","24281080","34372","462636972","74469219"
"FAPP-cpupa","Thread","0","3","0","all","0","1","476878816","5705624446","0","0","1083","59059983","22853357","33239","142663571","6209379"
"FAPP-cpupa","Thread","0","3","1","all","0","1","142437376","2848632598","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","3","2","all","0","1","150174272","3002327294","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","3","3","all","0","1","150323616","3006357076","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","3","4","all","0","1","142215072","2841898027","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","3","5","all","0","1","150204608","2994400109","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","3","6","all","0","1","157367840","3146193931","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","3","7","all","0","1","142163808","2839027759","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","3","8","all","0","1","142164032","2839016964","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","3","9","all","0","1","142163552","2840784743","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","3","10","all","0","1","142163808","2843159374","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","3","11","all","0","1","142163520","2833491378","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","137007904","2739421681","0","0","0","442368024","1545115","1212","345609123","73728000"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","11420128","228333466","0","0","0","36864013","132440","101","28804624","6144000"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","11411584","228185351","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","11419968","228332566","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","11412128","228193528","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","11420192","228334610","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","11419840","228332820","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","11420032","228333766","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","11420096","228333770","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","11420096","228333388","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","11411936","228190516","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","11420128","228333013","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","11411776","228184887","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Process","0","1","-","all","0","12","2132943328","38666955580","0","0","1281","468619316","24280943","34366","462636834","74469219"
"FAPP-cpupa","Thread","0","1","0","all","0","1","475257792","5661286182","0","0","1083","59059990","22853220","33233","142663433","6209379"
"FAPP-cpupa","Thread","0","1","1","all","0","1","148140192","2931345477","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","1","2","all","0","1","148091008","2924805376","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","1","3","all","0","1","148133760","2960280567","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","1","4","all","0","1","154119104","3061703896","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","1","5","all","0","1","148140608","2947622543","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","1","6","all","0","1","148090784","2935802195","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","1","7","all","0","1","148140960","2962774302","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","1","8","all","0","1","154323840","3076792640","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","1","9","all","0","1","148091488","2961721800","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","1","10","all","0","1","164051680","3279813782","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Thread","0","1","11","all","0","1","148362112","2963006820","0","0","18","37232666","129793","103","29088491","6205440"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","136927584","2737825132","0","0","0","442368024","1545115","1212","345609123","73728000"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","11412896","228193240","0","0","0","36864013","132440","101","28804624","6144000"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","11412608","228192580","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","11412832","228192771","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","11412768","228192817","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","11402208","227996102","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","11404960","228050400","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","11412896","228192942","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","1","7","axhelm_kernel","1","1","11412896","228192413","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","1","8","axhelm_kernel","1","1","11413024","228193405","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","1","9","axhelm_kernel","1","1","11412896","228192066","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","1","10","axhelm_kernel","1","1","11404704","228044552","0","0","0","36864001","128425","101","28800409","6144000"
"FAPP-cpupa","Thread","0","1","11","axhelm_kernel","1","1","11412896","228191844","0","0","0","36864001","128425","101","28800409","6144000"
